C:\Users\shant\Downloads\Data\IMG\center_2024_06_11_18_10_33_786.jpg, C:\Users\shant\Downloads\Data\IMG\left_2024_06_11_18_10_33_786.jpg, C:\Users\shant\Downloads\Data\IMG\right_2024_06_11_18_10_33_786.jpg, 0, 0, 0, 7.806486E-05
C:\Users\shant\Downloads\Data\IMG\center_2024_06_11_18_10_33_898.jpg, C:\Users\shant\Downloads\Data\IMG\left_2024_06_11_18_10_33_898.jpg, C:\Users\shant\Downloads\Data\IMG\right_2024_06_11_18_10_33_898.jpg, 0, 0, 0, 7.815487E-05
C:\Users\shant\Downloads\Data\IMG\center_2024_06_11_18_10_34_009.jpg, C:\Users\shant\Downloads\Data\IMG\left_2024_06_11_18_10_34_009.jpg, C:\Users\shant\Downloads\Data\IMG\right_2024_06_11_18_10_34_009.jpg, 0, 0, 0, 7.787199E-05
C:\Users\shant\Downloads\Data\IMG\center_2024_06_11_18_10_34_120.jpg, C:\Users\shant\Downloads\Data\IMG\left_2024_06_11_18_10_34_120.jpg, C:\Users\shant\Downloads\Data\IMG\right_2024_06_11_18_10_34_120.jpg, 0, 0, 0, 7.810503E-05
C:\Users\shant\Downloads\Data\IMG\center_2024_06_11_18_10_34_230.jpg, C:\Users\shant\Downloads\Data\IMG\left_2024_06_11_18_10_34_230.jpg, C:\Users\shant\Downloads\Data\IMG\right_2024_06_11_18_10_34_230.jpg, 0, 0, 0, 7.828901E-05
C:\Users\shant\Downloads\Data\IMG\center_2024_06_11_18_10_34_340.jpg, C:\Users\shant\Downloads\Data\IMG\left_2024_06_11_18_10_34_340.jpg, C:\Users\shant\Downloads\Data\IMG\right_2024_06_11_18_10_34_340.jpg, 0, 0, 0, 7.828245E-05
C:\Users\shant\Downloads\Data\IMG\center_2024_06_11_18_10_34_451.jpg, C:\Users\shant\Downloads\Data\IMG\left_2024_06_11_18_10_34_451.jpg, C:\Users\shant\Downloads\Data\IMG\right_2024_06_11_18_10_34_451.jpg, 0, 0, 0, 8.105731E-05
C:\Users\shant\Downloads\Data\IMG\center_2024_06_11_18_10_34_561.jpg, C:\Users\shant\Downloads\Data\IMG\left_2024_06_11_18_10_34_561.jpg, C:\Users\shant\Downloads\Data\IMG\right_2024_06_11_18_10_34_561.jpg, 0, 0, 0, 7.875323E-05
C:\Users\shant\Downloads\Data\IMG\center_2024_06_11_18_10_34_675.jpg, C:\Users\shant\Downloads\Data\IMG\left_2024_06_11_18_10_34_675.jpg, C:\Users\shant\Downloads\Data\IMG\right_2024_06_11_18_10_34_675.jpg, 0, 0, 0, 7.810297E-05
C:\Users\shant\Downloads\Data\IMG\center_2024_06_11_18_10_34_782.jpg, C:\Users\shant\Downloads\Data\IMG\left_2024_06_11_18_10_34_782.jpg, C:\Users\shant\Downloads\Data\IMG\right_2024_06_11_18_10_34_782.jpg, 0, 0, 0, 7.8898E-05
